Handicap Index,Number of Golfers,Percentage of Golfers
<0,8880.2,0.00398
0,38194.6,0.0171
1,38194.6,0.0171
2,38194.6,0.0171
3,38194.6,0.0171
4,38194.6,0.0171
5,90021.2,0.0403
6,90021.2,0.0403
7,90021.2,0.0403
8,90021.2,0.0403
9,90021.2,0.0403
10,119395.6,0.05344
11,119395.6,0.05344
12,119395.6,0.05344
13,119395.6,0.05344
14,119395.6,0.05344
15,98419.6,0.04404
16,98419.6,0.04404
17,98419.6,0.04404
18,98419.6,0.04404
19,98419.6,0.04404
20,53688,0.02402
21,53688,0.02402
22,53688,0.02402
23,53688,0.02402
24,53688,0.02402
25,24062.6,0.01076
26,24062.6,0.01076
27,24062.6,0.01076
28,24062.6,0.01076
29,24062.6,0.01076
30,9152.4,0.0041
31,9152.4,0.0041
32,9152.4,0.0041
33,9152.4,0.0041
34,9152.4,0.0041
35,3212.8,0.00144
36,3212.8,0.00144
37,3212.8,0.00144
38,3212.8,0.00144
39,3212.8,0.00144
40,1111.2,0.0005
41,1111.2,0.0005
42,1111.2,0.0005
43,1111.2,0.0005
44,1111.2,0.0005
45,412.6,0.00018
46,412.6,0.00018
47,412.6,0.00018
48,412.6,0.00018
49,412.6,0.00018
50,307.4,0.00014
51,307.4,0.00014
52,307.4,0.00014
53,307.4,0.00014
54,307.4,0.00014
